oneYrReturn	oneYrRisk	petalLength	petalWidth	assetClass
5.1	3.5	1.4	0.2	credit
4.9	3.0	1.4	0.2	credit
4.7	3.2	1.3	0.2	credit
4.6	3.1	1.5	0.2	credit
5.0	3.6	6.4	0.2	credit
5.1	3.7	1.5	0.4	credit
5.0	3.3	1.4	0.2	credit
7.0	3.2	4.7	1.4	equities
6.4	3.2	4.5	1.5	equities
6.9	3.1	4.9	1.5	equities
6.5	2.8	4.6	1.5	equities
5.1	2.5	3.0	1.1	equities
5.7	2.8	4.1	1.3	equities
6.3	3.3	6.0	2.5	govys
5.8	2.7	5.1	1.9	govys
7.1	1.0	5.9	2.1	govys
6.7	3.3	5.7	2.5	govys
2.7	0.5	9.2	2.3	govys
6.3	2.5	5.0	1.9	govys
6.5	3.0	5.2	2.0	govys
5.9	3.0	1.1	1.8	govys
0.0	0.0	1.0	1.8	zerozero
